item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
2GU1,PL6*1067,1478.4,1,74.3,74.3,74.3,E350A,,3.19,2GU1,1,TST-SFD-46-01-01-07-000-16807
2m272,ISMC150,9088.0,1,149.48,151.96,149.48,E250A,,5.16,2GU1,1,TST-SFD-46-01-01-07-000-16807
2m273,ISA75X75X8,9088.0,1,81.18,81.32,81.18,E250A,,2.66,2GU1,1,TST-SFD-46-01-01-07-000-16807
2p205,PLT8*50,400.3,18,1.26,21.21,22.62,E350A,,0.04,2GU1,1,TST-SFD-46-01-01-07-000-16807
2p206,PLT8*50,738.6,18,2.32,39.44,41.73,E350A,,0.08,2GU1,1,TST-SFD-46-01-01-07-000-16807
2p207,PLT8*50,451.3,18,1.42,23.88,25.51,E350A,,0.05,2GU1,1,TST-SFD-46-01-01-07-000-16807
2p208,PL6*1478,2000.0,4,139.27,557.07,557.07,E350A,,5.96,2GU1,1,TST-SFD-46-01-01-07-000-16807
2p209,PL6*75,1412.4,5,4.99,24.95,24.95,E350A,,0.23,2GU1,1,TST-SFD-46-01-01-07-000-16807
