item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
3C2,WH1200X500X40X32,7989.5,1,4756.5,4748.68,4756.5,E350BR(UT),,34.72,3C2,1,TST-SFD-46-01-01-07-000-14281
3m471,WH1200X500X40X32,7589.5,1,4518.36,4510.54,4518.36,E350BR(UT),,32.99,3C2,1,TST-SFD-46-01-01-07-000-14281
3m484,ISA50X50X6,809.0,7,3.61,25.25,25.25,E250A,,0.16,3C2,1,TST-SFD-46-01-01-07-000-14281
3m496,WH1200X500X40X32,6764.5,1,4027.2,4019.38,4027.2,E350BR(UT),,29.41,3C2,1,TST-SFD-46-01-01-07-000-14281
3m497,WH1200X500X40X32,7164.5,1,4265.34,4257.52,4265.34,E350BR(UT),,31.14,3C2,1,TST-SFD-46-01-01-07-000-14281
3m503,WH500X300X16X10,2468.0,1,276.66,240.46,276.66,E350A,,4.82,3C2,1,TST-SFD-46-01-01-07-000-14281
3m504,WH400X500X20X10,2468.0,4,457.22,1526.7,1828.89,E350A,,5.92,3C2,1,TST-SFD-46-01-01-07-000-14281
3m505,ISA200X200X20,1950.0,4,116.95,467.8,467.8,E250A,,1.53,3C2,1,TST-SFD-46-01-01-07-000-14281
3m506,ISA200X200X20,2607.8,2,156.4,312.8,312.8,E250A,,2.05,3C2,1,TST-SFD-46-01-01-07-000-14281
3m507,ISA200X200X20,2522.7,2,151.29,302.59,302.59,E250A,,1.98,3C2,1,TST-SFD-46-01-01-07-000-14281
3m517,ISA75X75X8,1138.0,12,10.18,122.2,122.21,E250A,,0.33,3C2,1,TST-SFD-46-01-01-07-000-14281
3m518,ISA75X75X8,1449.1,2,12.97,24.65,25.94,E250A,,0.42,3C2,1,TST-SFD-46-01-01-07-000-14281
3m519,ISA75X75X8,1449.1,2,12.97,24.65,25.94,E250A,,0.42,3C2,1,TST-SFD-46-01-01-07-000-14281
3m520,ISA75X75X8,1319.2,2,11.81,22.68,23.61,E250A,,0.39,3C2,1,TST-SFD-46-01-01-07-000-14281
3m521,ISA75X75X8,1319.2,2,11.81,22.68,23.61,E250A,,0.39,3C2,1,TST-SFD-46-01-01-07-000-14281
3m766,ISMC150,1379.9,7,23.07,161.51,161.51,E250A,,0.78,3C2,1,TST-SFD-46-01-01-07-000-14281
3m767,ISMC150,1379.9,1,23.07,23.07,23.07,E250A,,0.78,3C2,1,TST-SFD-46-01-01-07-000-14281
3p32,PL10*287,447.8,2,10.08,17.36,20.17,E350A,,0.23,3C2,1,TST-SFD-46-01-01-07-000-14281
3p33,PL20*200,561.0,2,17.62,35.23,35.23,E350A,,0.25,3C2,1,TST-SFD-46-01-01-07-000-14281
3p34,PL20*200,379.0,2,11.9,23.8,23.8,E350A,,0.17,3C2,1,TST-SFD-46-01-01-07-000-14281
3p36,PL20*200,390.0,2,12.25,24.49,24.49,E350A,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p37,PL10*379,380.0,2,11.31,22.49,22.61,E350A,,0.3,3C2,1,TST-SFD-46-01-01-07-000-14281
3p51,PL25*200,359.0,2,14.09,28.18,28.18,E350BR,,0.17,3C2,1,TST-SFD-46-01-01-07-000-14281
3p283,PL16*646,1687.3,2,137.0,234.11,274.0,E350A,,1.93,3C2,1,TST-SFD-46-01-01-07-000-14281
3p295,PL32*500,1200.0,4,150.72,602.88,602.88,E350BR,,1.31,3C2,1,TST-SFD-46-01-01-07-000-14281
3p307,PL14*234,1120.0,20,28.8,575.17,576.05,E350A,,0.56,3C2,1,TST-SFD-46-01-01-07-000-14281
3p308,PL16*234,1116.0,4,32.8,130.36,131.2,E350A,,0.56,3C2,1,TST-SFD-46-01-01-07-000-14281
3p309,PL20*234,1116.0,16,41.0,650.72,655.99,E350A,,0.57,3C2,1,TST-SFD-46-01-01-07-000-14281
3p319,PL25*650,737.8,2,94.06,140.75,188.13,E350BR,,0.77,3C2,1,TST-SFD-46-01-01-07-000-14281
3p332,PL16*473,474.3,4,28.18,92.14,112.7,E350A,,0.39,3C2,1,TST-SFD-46-01-01-07-000-14281
3p333,PL16*496,1498.4,2,93.29,178.54,186.58,E350A,,1.48,3C2,1,TST-SFD-46-01-01-07-000-14281
3p334,PL16*490,671.6,2,41.31,61.62,82.62,E350A,,0.52,3C2,1,TST-SFD-46-01-01-07-000-14281
3p436,PL20*230,447.0,2,16.14,32.28,32.28,E350A,,0.23,3C2,1,TST-SFD-46-01-01-07-000-14281
3p437,PL12*225,447.0,2,9.47,15.41,18.95,E350A,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p438,PL20*200,255.0,2,8.01,16.01,16.01,E350A,,0.12,3C2,1,TST-SFD-46-01-01-07-000-14281
3p439,PL10*255,480.0,2,9.61,19.02,19.22,E350A,,0.26,3C2,1,TST-SFD-46-01-01-07-000-14281
