item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
3p440,PL20*200,488.0,1,15.32,15.32,15.32,E350A,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p441,PL20*200,488.0,1,15.32,15.32,15.32,E350A,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p463,PL10*200,471.0,2,7.39,12.24,14.79,E350A,,0.17,3C2,1,TST-SFD-46-01-01-07-000-14281
3p464,PL25*250,259.0,2,12.71,25.41,25.41,E350BR,,0.15,3C2,1,TST-SFD-46-01-01-07-000-14281
3p465,PL16*259,375.0,2,12.2,24.08,24.4,E350A,,0.21,3C2,1,TST-SFD-46-01-01-07-000-14281
3p467,PL25*250,385.0,1,18.89,18.89,18.89,E350BR,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p469,PL25*280,471.0,2,25.88,51.76,51.76,E350BR,,0.3,3C2,1,TST-SFD-46-01-01-07-000-14281
3p471,PL25*250,385.0,1,18.89,18.89,18.89,E350BR,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p511,PL20*630,1105.5,1,109.26,74.74,109.26,E350A,,1.01,3C2,1,TST-SFD-46-01-01-07-000-14281
3p518,PL20*630,1105.5,1,109.26,74.74,109.26,E350A,,1.01,3C2,1,TST-SFD-46-01-01-07-000-14281
3p525,PL16*359,475.0,2,21.42,42.52,42.84,E350A,,0.36,3C2,1,TST-SFD-46-01-01-07-000-14281
3p526,PL25*200,485.0,1,19.04,19.04,19.04,E350BR,,0.23,3C2,1,TST-SFD-46-01-01-07-000-14281
3p527,PL25*230,571.0,2,25.77,51.55,51.55,E350BR,,0.3,3C2,1,TST-SFD-46-01-01-07-000-14281
3p528,PL25*200,485.0,1,19.04,19.04,19.04,E350BR,,0.23,3C2,1,TST-SFD-46-01-01-07-000-14281
3p530,PL14*452,517.2,2,25.71,45.4,51.41,E350A,,0.44,3C2,1,TST-SFD-46-01-01-07-000-14281
3p531,PL20*630,630.0,2,62.27,101.29,124.53,E350A,,0.69,3C2,1,TST-SFD-46-01-01-07-000-14281
3p557,PL25*234,1120.0,8,51.43,410.84,411.47,E350BR,,0.59,3C2,1,TST-SFD-46-01-01-07-000-14281
3p567,PL12*200,631.0,7,11.89,66.26,83.22,E350A,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p569,PL16*260,629.0,11,20.54,224.85,225.95,E350A,,0.35,3C2,1,TST-SFD-46-01-01-07-000-14281
3p586,PL12*164,631.0,4,9.75,31.49,38.99,E350A,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p615,PL12*250,561.0,2,13.21,19.87,26.42,E350A,,0.23,3C2,1,TST-SFD-46-01-01-07-000-14281
3p616,PL20*200,411.0,2,12.91,25.81,25.81,E350A,,0.19,3C2,1,TST-SFD-46-01-01-07-000-14281
3p617,PL20*200,229.0,2,7.19,14.38,14.38,E350A,,0.11,3C2,1,TST-SFD-46-01-01-07-000-14281
3p618,PL10*229,380.0,2,6.83,13.54,13.66,E350A,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p620,PL20*200,390.0,2,12.25,24.49,24.49,E350A,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p622,PL25*200,548.0,2,21.51,43.02,43.02,E350BR,,0.26,3C2,1,TST-SFD-46-01-01-07-000-14281
3p623,PL25*200,350.0,2,13.74,27.47,27.47,E350BR,,0.17,3C2,1,TST-SFD-46-01-01-07-000-14281
3p624,PL10*250,548.0,2,10.75,18.85,21.51,E350A,,0.25,3C2,1,TST-SFD-46-01-01-07-000-14281
3p625,PL25*200,385.0,3,15.11,45.33,45.33,E350BR,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p626,PL12*350,375.0,2,12.36,24.58,24.73,E350A,,0.28,3C2,1,TST-SFD-46-01-01-07-000-14281
3p627,PL25*200,473.0,2,18.57,37.13,37.13,E350BR,,0.22,3C2,1,TST-SFD-46-01-01-07-000-14281
3p628,PL25*200,200.0,2,7.85,15.7,15.7,E350BR,,0.1,3C2,1,TST-SFD-46-01-01-07-000-14281
3p630,PL25*200,385.0,1,15.11,15.11,15.11,E350BR,,0.18,3C2,1,TST-SFD-46-01-01-07-000-14281
3p631,PL12*200,375.0,2,7.07,13.98,14.13,E350A,,0.16,3C2,1,TST-SFD-46-01-01-07-000-14281
3p741,PL14*471,607.3,2,31.46,56.16,62.92,E350A,,0.54,3C2,1,TST-SFD-46-01-01-07-000-14281
