item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
3C1,WH1200X500X50X32,8726.5,1,5836.46,5825.78,5836.46,E350BR(UT),,37.92,3C1,1,TST-SFD-46-01-01-07-000-14278
3m470,WH1200X500X50X32,8726.5,1,5836.46,5825.78,5836.46,E350BR(UT),,37.92,3C1,1,TST-SFD-46-01-01-07-000-14278
3m481,T 300X250X25X20,1950.0,8,179.86,1438.9,1438.91,E350BR,,2.17,3C1,1,TST-SFD-46-01-01-07-000-14278
3m482,T 300X250X25X20,1625.4,2,149.92,299.84,299.84,E350BR,,1.81,3C1,1,TST-SFD-46-01-01-07-000-14278
3m483,T 300X250X25X20,2503.2,6,230.89,1385.34,1385.34,E350BR,,2.78,3C1,1,TST-SFD-46-01-01-07-000-14278
3m500,ISMC300,600.0,2,21.81,43.61,43.61,E250A,,0.55,3C1,1,TST-SFD-46-01-01-07-000-14278
3m766,ISMC150,1379.9,6,23.07,138.44,138.43,E250A,,0.78,3C1,1,TST-SFD-46-01-01-07-000-14278
3p262,PL50*1850,1996.5,4,1449.71,4491.56,5798.83,E350BR(UT),,6.04,3C1,1,TST-SFD-46-01-01-07-000-14278
3p263,PL25*596,907.0,4,106.09,414.28,424.35,E350BR,,1.12,3C1,1,TST-SFD-46-01-01-07-000-14278
3p264,PL63*1600,1850.0,2,1463.87,2851.87,2927.74,E350BR(UT),,6.26,3C1,1,TST-SFD-46-01-01-07-000-14278
3p265,PL50*198,1200.0,2,93.26,175.66,186.52,E350BR(UT),,0.58,3C1,1,TST-SFD-46-01-01-07-000-14278
3p266,PL50*198,573.0,4,44.53,164.35,178.12,E350BR(UT),,0.28,3C1,1,TST-SFD-46-01-01-07-000-14278
3p267,PL25*348,596.0,32,40.7,1041.18,1302.52,E350BR,,0.37,3C1,1,TST-SFD-46-01-01-07-000-14278
3p268,PL25*160,160.0,8,5.02,40.19,40.19,E350BR,,0.07,3C1,1,TST-SFD-46-01-01-07-000-14278
3p269,PL40*290,290.0,16,26.41,422.52,422.52,E350BR(UT),,0.21,3C1,1,TST-SFD-46-01-01-07-000-14278
3p270,PL80*350,350.0,16,76.93,1181.57,1230.88,E350BR(UT),,0.35,3C1,1,TST-SFD-46-01-01-07-000-14278
3p271,PL16*273,360.0,2,12.34,23.09,24.69,E350A,,0.2,3C1,1,TST-SFD-46-01-01-07-000-14278
3p272,PL25*827,1352.5,2,219.61,241.11,439.22,E350BR,,1.32,3C1,1,TST-SFD-46-01-01-07-000-14278
3p273,PL25*704,1650.5,2,228.17,404.23,456.34,E350BR,,2.16,3C1,1,TST-SFD-46-01-01-07-000-14278
3p274,PL25*638,1736.2,2,217.36,378.95,434.71,E350BR,,2.03,3C1,1,TST-SFD-46-01-01-07-000-14278
3p293,PL32*1096,1996.5,2,549.67,1078.84,1099.33,E350BR,,4.47,3C1,1,TST-SFD-46-01-01-07-000-14278
3p294,PL25*907,1096.0,4,195.09,768.2,780.35,E350BR,,2.05,3C1,1,TST-SFD-46-01-01-07-000-14278
3p295,PL32*500,1200.0,2,150.72,301.44,301.44,E350BR,,1.31,3C1,1,TST-SFD-46-01-01-07-000-14278
3p305,PL25*573,589.1,8,66.24,421.82,529.94,E350BR,,0.59,3C1,1,TST-SFD-46-01-01-07-000-14278
