item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
3p306,PL25*600,1698.2,4,199.86,761.6,799.43,E350BR,,2.04,3C1,1,TST-SFD-46-01-01-07-000-14278
3p424,PL16*200,390.0,1,9.8,9.8,9.8,E350A,,0.17,3C1,1,TST-SFD-46-01-01-07-000-14278
3p425,PL16*230,443.0,2,12.8,25.59,25.59,E350A,,0.23,3C1,1,TST-SFD-46-01-01-07-000-14278
3p426,PL10*200,443.0,2,6.96,11.58,13.91,E350A,,0.16,3C1,1,TST-SFD-46-01-01-07-000-14278
3p427,PL16*200,259.0,2,6.51,13.01,13.01,E350A,,0.12,3C1,1,TST-SFD-46-01-01-07-000-14278
3p428,PL8*259,384.0,2,6.25,12.33,12.49,E350A,,0.21,3C1,1,TST-SFD-46-01-01-07-000-14278
3p430,PL16*200,390.0,1,9.8,9.8,9.8,E350A,,0.17,3C1,1,TST-SFD-46-01-01-07-000-14278
3p435,PL12*145,200.0,1,2.73,2.73,2.73,E350A,,0.07,3C1,1,TST-SFD-46-01-01-07-000-14278
3p463,PL10*200,471.0,2,7.39,12.24,14.79,E350A,,0.17,3C1,1,TST-SFD-46-01-01-07-000-14278
3p464,PL25*250,259.0,2,12.71,25.41,25.41,E350BR,,0.15,3C1,1,TST-SFD-46-01-01-07-000-14278
3p465,PL16*259,375.0,2,12.2,24.08,24.4,E350A,,0.21,3C1,1,TST-SFD-46-01-01-07-000-14278
3p467,PL25*250,385.0,1,18.89,18.89,18.89,E350BR,,0.22,3C1,1,TST-SFD-46-01-01-07-000-14278
3p469,PL25*280,471.0,2,25.88,51.76,51.76,E350BR,,0.3,3C1,1,TST-SFD-46-01-01-07-000-14278
3p471,PL25*250,385.0,1,18.89,18.89,18.89,E350BR,,0.22,3C1,1,TST-SFD-46-01-01-07-000-14278
3p516,PL20*805,932.4,2,117.79,175.65,235.58,E350A,,1.18,3C1,1,TST-SFD-46-01-01-07-000-14278
3p556,PL25*234,1100.0,8,50.51,403.49,404.12,E350BR,,0.58,3C1,1,TST-SFD-46-01-01-07-000-14278
3p567,PL12*200,631.0,8,11.89,75.73,95.1,E350A,,0.22,3C1,1,TST-SFD-46-01-01-07-000-14278
3p569,PL16*260,629.0,7,20.54,143.09,143.78,E350A,,0.35,3C1,1,TST-SFD-46-01-01-07-000-14278
3p612,PL16*260,629.0,1,20.54,20.44,20.54,E350A,,0.35,3C1,1,TST-SFD-46-01-01-07-000-14278
