item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
1DC1,PIPE508*6,400.0,1,29.59,29.59,29.59,YST 240,,0.65,1DC1,2,TST-SFD-46-01-01-07-000-16362
1m470,SPD508*508*608*608*8,506.0,1,54.93,54.93,54.93,YST 240,,0.91,1DC1,2,TST-SFD-46-01-01-07-000-16362
1m471,ISMC150,800.0,1,13.16,13.38,13.16,E250A,,0.45,1DC1,2,TST-SFD-46-01-01-07-000-16362
1m472,ISA75X75X8,800.0,1,7.15,7.16,7.15,E250A,,0.23,1DC1,2,TST-SFD-46-01-01-07-000-16362
1m473,ROD8,608.0,22,0.22,4.75,4.75,E250A,,0.01,1DC1,2,TST-SFD-46-01-01-07-000-16362
1p374,PL6*800,1478.4,1,55.71,42.09,55.71,E350A,,1.83,1DC1,2,TST-SFD-46-01-01-07-000-16362
1p375,PL6*75,1412.4,2,4.99,9.98,9.98,E350A,,0.23,1DC1,2,TST-SFD-46-01-01-07-000-16362
